id,text,label,category
stress_064,"В рекламе обещали «лучший сервис», но обслуживание отвратительное.",negative,quotation
stress_065,"Статья называется «Счастье рядом», автор указан на обложке.",neutral,quotation
stress_066,"На коробке написано «обычный чай», а вкус оказался замечательный.",positive,quotation
stress_067,"Все кричали «прекрасно», но мне концерт совсем не понравился.",negative,quotation
stress_068,В протокол внесли реплику участника «Это ужасно».,neutral,quotation
stress_069,"Сестра назвала поездку «кошмаром», мне же она очень понравилась.",positive,quotation
stress_070,"Описание «уютный номер» оказалось ложью, жить здесь неприятно.",negative,quotation
stress_071,Для перевода дано выражение «восхитительный результат».,neutral,quotation
stress_072,"Рецензия обещала «провал», но спектакль великолепен.",positive,quotation
stress_073,Надпись «вкусно как дома» не спасает эту отвратительную еду.,negative,quotation
stress_074,"В диалоге персонаж говорит «я счастлив», затем выходит.",neutral,quotation
stress_075,"Знакомый сказал «неудобно», а мне кресло идеально подходит.",positive,quotation
stress_076,Слоган «мы вас ценим» звучит издевкой после грубости сотрудника.,negative,quotation
stress_077,Редактор заменил слово «ужасный» на «неудачный».,neutral,quotation
stress_078,"Кто-то написал «посредственно», но я искренне доволен покупкой.",positive,quotation
stress_079,"Мне обещали «радость каждый день», а устройство только раздражает.",negative,quotation
stress_080,В словаре рядом напечатаны слова «радость» и «печаль».,neutral,quotation
stress_081,"Экран немного тусклый, зато батарея отличная, покупкой доволен.",positive,mixed
stress_082,"Вид из окна красивый, но грязь и шум испортили все впечатление.",negative,mixed
stress_083,"У проекта отмечены два плюса и два минуса, итоговая оценка не дана.",neutral,mixed
stress_084,"Еду принесли поздно, но она была настолько вкусной, что вечер удался.",positive,mixed
stress_085,"Курьер вежливый, однако товар сломан, покупка разочаровала.",negative,mixed
stress_086,"Начало фильма скучное, зато финал потрясающий, рекомендую.",positive,mixed
stress_087,"Музыка хорошая, но сюжет настолько плох, что фильм не советую.",negative,mixed
stress_088,"Один участник одобрил план, второй раскритиковал; решение отложили.",neutral,mixed
stress_089,"Дорога была утомительной, но отдых великолепный, хочу вернуться.",positive,mixed
stress_090,"Цена приятная, а качество ужасное, больше не куплю.",negative,mixed
stress_091,"Есть мелкие недочеты, в целом сервис отличный.",positive,mixed
stress_092,"Персонал старался, но результат ремонта плохой, я недоволен.",negative,mixed
stress_093,В таблице преимущества и недостатки перечислены без общего вывода.,neutral,mixed
stress_094,"Номер тесный, зато чистота и гостеприимство замечательные, мне понравилось.",positive,mixed
stress_095,"Упаковка красивая, содержимое невкусное, зря потратился.",negative,mixed
stress_096,"Книга местами затянута, но в целом замечательная.",positive,mixed
stress_097,"Камера хорошая, но постоянные сбои делают телефон невыносимым.",negative,mixed
stress_098,"В обсуждении прозвучали похвала и критика, автор обзора оценки не добавил.",neutral,mixed
stress_099,"Сперва сомневался из-за цены, теперь рад покупке каждый день.",positive,mixed
stress_100,"Лекция началась интересно, но завершилась рекламой, впечатление испорчено.",negative,mixed
