id,text,label
random_09291,"Недавно проводился конкурс на случшую схему московского метрополитена (появится в метро с конца февраля) и уж честно или не честно, но победила студия Лебедева. И должен признать, увидев её - я в восторге. Замечательная карта - всё понятно, красиво, аккуратно, стильно. Даже есть версия 2, на которой прорисованы парки и достопримечательности. Просто супер. Прям даже хочется на метро разочек проехать, чтобы её увидеть и выбрать в какой парк поехать =)",positive
random_04323,Собака-гостейодобряка,neutral
random_09855,куплю 5 труб,neutral
random_19169,"Ну, дождались, Тема? :)",neutral
random_10933,Лучше меня может быть только моя дочь.,neutral
random_16876,"Вот так тебе)))
",neutral
random_10000,вот что мы делаем когда ты уходишь на работу)))),neutral
random_05166,Это про меня,neutral
random_12485,Завтра утром в ЕРГАКИ :),neutral
random_00851,"Очевидно, что это невероятно! СамЭц!",positive
random_18077,[Депрессия - это когда в фильмах ужаса начинаешь болеть за маньяков!],neutral
random_05852,будем творить ))),neutral
random_09705,"Дорогие друзья, есть ли ВК какая-нибудь группа рыбинского фри-маркета? Есть желание пристроить несколько вещиц.",neutral
random_00367,Грустный КПИшный ёжик 😞,negative
random_01230,"Мне не нужен идеальный,мне нужен ты вредный,ревнивый но такой любимый:*",positive
random_09206,Как тебе тачилик??:D,neutral
random_21180,"удивительно,но в природе есть человек очень похожий на меня",neutral
random_11302,втыкай=)паскуда),neutral
random_13743,"Коробочка № [id269854455|Стёпа Иванов] 
 Александр Кондратчук
[id15640796|Екатерина Филимонова]",neutral
random_16675,"только тут ошибочка!правильно..забавная!)
",positive
random_09210,Читать всем :-),neutral
random_16931,"сказка ложь, да в ней намёк....... )",neutral
random_14289,ахаха) что то с чемто)),positive
random_07244,"История американского боксёра-профессионала, чемпиона мира в тяжёлом весе Чарльза «Сонни» Листона, который был нокаутирован знаменитым «призрачным ударом» Мохаммеда Али на второй минуте первого раунда матча-реванша.",neutral
random_13213,"ВНИМАНИЕ-ВНИМАНИЕ!
срочно продам 
шикарнейшие ботинки ASOS ARTICLE Chelsea Ankle Boots
НОВЫЕ с коробкой. ни разу не обувались.
заказаны себе, не подошёл размер
покупались за 500 грн, отдам за 450! потому что очень срочно..
размер 5/38, по стельке 24,5-25 см.
они очень крутые))",neutral
random_07342,блин а я ваще хз что на тебя пейса тебе кинуть),neutral
random_18849,Беспечное время,positive
random_16565,зачем топтать мою любовь,negative
random_18303,"Всем человекам физкульт привет!!!! Всем майдано-даунам физкульт пока!!!!
Было сегодня чего интересное? 
На что внимание обратить? 
Весь день по работам аки трактор, ничего не видел (((",negative
random_03671,Как стемнеет-будем брать!,neutral
random_10325,"Расписание таково на понедельник: если учитывать что сейчас числитель, то нам к 13-45 (к 4ой паре). будет 3 пары.
1ая лаба Практикум по бух учету 3к. ауд. 103; 
2ая пара это лек. Учет затрат калькул и бюдж в отд отрасл произв сферы 3к. ауд. 102; 
3ья пара это лаба Учет затрат калькул и бюдж в отд отрасл произв сферы",neutral
random_09614,"Нет ничего ПРИЯТНЕЕ теплой ладошки ребенка в твоей руке,ВОСХИТИТЕЛЬНЕЕ его сонных глазок по утру,ЗАРАЗИТЕЛЬНЕЕ смеха,НЕЖНЕЕ поцелуя,ДОРОЖЕ ожерелья из его ручек вокруг шеи...И ничего нет искреннее чем слова маленького человечка:""Я ЛЮБЛЮ ТЕБЯ МАМОЧКА!!!""",positive
random_12946,для того чтобы понравиться мужчине накрутите на палец белой херни колечками и используйте приём орального проникновения.,neutral
random_10969,Ахахахахаах бляяяяяя!!)))) Хд,positive
random_14051,Селфи с любимым парикмахером💇💅👯👍🏻,positive
random_13240,"Когда-нибудь тебе внушат, что о твою доброту вытирают ноги. Не верь. Оставайся добрым. Ведь добро — это просто, и оно спасает мир.",positive
random_13266,Мерзкий городишко Растрелли и Росси..,negative
random_01183,Скоро кто-то родится)))))),positive
random_00022,"
Рекомендую смотреть это видео, раскрыв на весь экран, указав хорошее качество HD в плеере youtube и в наушниках )) Фоновый голос: Флигинских Александр.",neutral
random_18604,"9 СОВЕТОВ ТРИДЦАТИЛЕТНИМ ОТ ТЕХ, КОМУ ЗА 40 | thePO.ST",neutral
random_13885,"+3 твоей фотографии!
",neutral
random_01787,ахахах у меня на компе есть все эти папки),positive
random_14017,Цыган- христианин,neutral
random_00286,"Говорят, у людей с холодными руками теплое сердце.",neutral
random_11946,Медицина поистине есть самое благородное из всех искусств.,positive
random_12343,Весело проходят первые дни лагеря,positive
random_02124,"Съемка одежды для классного дизайнера Елены Скромной 
Модель Ксения Усик ",neutral
random_00591,"выходные прошли => пора мечтаний, планов, целей => самовольно втягиваюсь в рутину => мда.",negative
random_02223," 
 вертолеты ООН на Востоке Украины",neutral
random_09908,"может я не с этой планеты?? почему я не могу многое понять и смириться?? почему я не могу просто молчать? молчать и терпеть. закрыть глаза и представить, что всё хорошо.
черт. никому не нужно это моё унылое гавно из головы. молча. нужно учиться жить молча. и, главное, не думать. не думать...думать не...",negative
random_18701,"Освистывать Жиркова - свинство, господа националисты!",negative
random_11706,аххахахаххахахахахаххахаха)*,positive
random_04315,Игорь Растеряев-Казачья песня,neutral
random_08729,Электрическая грелка со скидкой 50%,neutral
random_19708,"Сергей, я хочу познакомить тебя с симпатичной девушкой!
",positive
random_19761,Во дворе прям совсем лето..,positive
random_08393,Очень Любишь Танцевать!? Люби и Обувь Починять! :))),neutral
random_14543,Сезон открыли!,positive
random_01338,я с тобой больше пить не буду,negative
random_15447,"любимые мои!
самые самые!",positive
random_04085,"Мама уже в аэропорту, скоро вылет... снова один =(",negative
random_14581,"Мне холодно. Днем выпросил у друга хорошую кофту и в ней достаточно спокойно прокрутил педали через весь город. Были рваные дерганья ветра и случайные проблески солнца, а я неспешно накручивал свой путь через неприветливый понедельник. 
А еще мы пили днем горячий чай, а к вечеру я собрал кое-какой ужин, но всё равно мне холодно. Да, а еще я купил себе новые кроссовки, хотя это мало влияет на утепление. Просто к слову. Потому что без слов мне холодно. Мне не согреться.",negative
random_16632,Вариация на тему Suffer bitch. Выживал и монтировал самостоятельно.,neutral
random_04829,Вальс цветов,neutral
random_06450,"Блииин,долго еще этот ужасный ветер будет??скоро крышу дома снесёт...",negative
random_08724,"Друзья! Нужен пищевой технолог или человек работающий на пищевом производстве. Если есть у кого в знакомых сообщите пожалуйста, очень поможете.",neutral
random_16688,"ЦСКА - КУБАНЬ - 1:1 (0:0). 
ЦСКА - дрыщииии",negative
random_06058,В Тамбове ЖАРА!!!В Тамбове ЖАРА!!!,positive
random_09226,прыгайте!!!,neutral
random_12105,Хоть молотком долби по моим железным нервам! ;-),neutral
random_01097,Фишка в том что первый тащит второго на жесткой сцепке вдобавок))))))),neutral
random_14423,выбирай)))),neutral
random_11342,"""Во мне просыпается та самая девочка-подросток, только раскрученная на бессонность 80 уровня. Оказывается, когда уже нет выбора: спать или не спать всю ночь, особенно, когда нечаянно одна, очень хорошо делать эту единственно возможную... бессоницу под Земфиру.""",neutral
random_00425,Прям про тебя )),neutral
random_09676,ты только глянь :)),neutral
random_18163,самы самые:*,positive
random_03926,"Мать, ты еще раз стала мамочкой)))??",neutral
random_02985,"Зая, не грусти!!! Всё будет хорошо!!! Я тебя не брошу.. ))",positive
random_04823,Тоже вариант.,neutral
random_14339,Только у футболистов самые красивые девушки ©,neutral
random_12756,"Песня из фильма  ""Ярослав. Тысячу лет назад """,neutral
random_07445,Credex открывает дверь в территорию больших возможностей для каждого человека не зависимо от его социального статуса и прочих факторов!,neutral
random_16125,Больше ничего не хотите?,neutral
random_20116,тебе для поднятия настроения солнышко**))))),positive
random_02584,А мне больше третий фильм понравился=)))))))))))))),positive
random_07247,вот такое настроение,neutral
random_12624,уволили  так уволили)),neutral
random_18296,Мой подарок мужу,neutral
random_17388,Где Динамо? Где?,neutral
random_01634,Не ждите чуда. Чудите сами!,positive
random_11649,"бред, безумие. схожу с ума.
 по мне психушка плачет.",negative
random_06308,пхахаха))) наслаждайся) ты такое любишь),positive
random_12602,Илья и Татьяна.,neutral
random_04886,Люблю тебя)*,positive
random_21122,я дома :-Р,positive
random_13526,"Мы привязаны не к контакту , а к тем людям , ради которых сюда заходим.",neutral
random_09297,я вернулся)))),positive
random_02130,простите меня за всё),neutral
random_03927,"Кругом обман,кругом обман.Уйду в туман,уйду в туман...)))",negative
random_05587,какая  линия ?,neutral
random_03804,Сапрон. Мы малые. 1 февраля 2012.,neutral
random_06604,БЕЗ СЛОВ...,neutral
random_10731,Сейчас на ужин приготовлю себе севрюгу и бокал Prosecco spumante))))),positive
random_02806,"Если стоит выбор между «да»
или «нет», то «да»! Сделайте
это. Поцелуйте, обнимите,
догоните, встретьтесь, скажите.
И пусть выйдет ерунда, зато
хоть попытались.",neutral
random_15566,Сын у меня родился!!!,positive
random_15411,"▼ Я всегда буду
твоим поводом
напиться.",neutral
random_01121,Только одна измена достойна уважения — измена своим принципам ради близкого человека.,positive
random_01811,Скандальная правда о Макдональтс =Р,neutral
random_12092,Причина по которой не стоит спать ночью!!,neutral
random_05326,"ПИВКА НИКТО ПОПИТЬ НЕ ХОЧЕТ?
С МЕНЯ БУРГЕРЫ ВЫСОКОКЛАССНЫЕ!",positive
random_01706,"Я понимаю, что я пиздец какой тормоз, но почему все друг друга оскорбляют? :CCC 
З.Ы. немного милого и естественного",negative
random_01191,"Этот замечательный голос умирает от рака. 
Помогите ей! Все реквизиты в их группе
",negative
random_11209,Что наша жизнь - Ван Гог #импрессионизм #эрмитажнаотдыхе  @ Город Выборг.,neutral
random_06838,Однако!)Тем ли я занимаюсь?),neutral
random_12871,"[id16175271|Вероника], давай лучше с нами в феврале на 4 дня! )) выезд 12.02 возвращаемся 17.02, бюджет 2500грн на все про все)",neutral
random_01828,"Вот это я понимаю, реконструктор чувак! :))",positive
random_07144,А поутру они проснулись - кругом помятая трава. Тут не одна трава помята - п..здец УкрАины судьба.,negative
random_14978,aхуеть теперь.,negative
random_02537,антизанижение)))),neutral
random_19036,Ильюха вон магазин ваш рекламирует в москве),neutral
random_04396,аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа нету денег на телефоне,negative
random_06144,С братухой))),neutral
random_16662,все ништяк!,positive
random_02829,Я занял первое место среди друзей на Уровень 104!,positive
random_15278,Русская линия / Новости / «Антицерковные силы опасаются усиления Православия в стране»,neutral
random_18420,А с чего у вас начинается охуенный вечер?)),positive
random_16832,":)))!!!
☆Отправлено через ",neutral
random_19460,я сегодня добрая,positive
random_20278,В последнее время у тебя одни глупые репосты.,negative
random_20831,У кого будет все хорошо???)))),positive
random_09441,смотри какой),neutral
random_19487,оп такой ништячек после работы :),positive
random_01928,"Вегетарианцы среди великих и знаменитых людей: Альберт Эйнштейн, Леонардо да Винчи, Махатма Ганди, Лев Толстой, лорд Байрон, Бернард Шоу, Майкл Джексон, Джаред Лето, Антонио Гауди, ""Битлз"", Пол Маккартни, Ричард Гир, Бред Питт, Майк Тайсон, Натали Портман, Ума Турман, Памела Андерсон, Деми Мур, Томас Эдисон, Брайан Адамс, Билл Клинтон, Леонардо ди Каприо..... и это только единицы..!",neutral
random_20389,"А отвечу я Zaz, неожиданно открыл для себя в этом году...",neutral
random_11366,Мои любимки*,positive
random_19949,От братика 😎,neutral
random_05007,МИД Украины: выполнение Минских соглашений — это возвращение Донбасса | Сводки и новости Новороссии,neutral
random_18947,Уже бабочки проснулись! Весна очень близко!,positive
random_19012,Немного отдыха и разминка внимательности  в пятничный денек.,neutral
random_17103,Снится ли нанороботам сингулярность?,neutral
random_20356,"Сделайте мне полку, господа)",neutral
random_08864,пью водку и хорошо....),positive
random_11344,сейчас у нас время блюза),neutral
random_00074,Искусство моей сестренки!!!,neutral
random_03188,Это мой друг ярик,neutral
random_05900,Алесь Зайка или Александр Васильев,neutral
random_09249,Сегодня в Пача Маме разговариваем о медиа и рекламе. Приглашаю всех :),neutral
random_05502,капыць)) -реклама тонального крема)))))),neutral
random_04380,Вот эту буду учить) аккорды простые),positive
random_01246,"ОН ТОТ,про кого Я некогда несмагу сказать ''бивший''...",negative
random_06349,как то так..,neutral
random_03539,"А в каком месяце родился ты?

Май

Очень
сексуален-любит это дело. Активный и динамичный. Решительный, но часто 
сожалеет о своей горячности. Привлекательный. Сильный менталитет. Любит 
внимание. Дипломатичный. Утешает людей, и решает их проблемы. Смелый и 
бесстрашный. Обычно у него много друзей. Эмоциональный. Упрямый. Хорошая
память.",positive
random_05043,Что делаете Коты ? :-),neutral
random_19718,Позитив)))),positive
random_07068,ыть=))нравится мине так))немагу прям,positive
random_15421,"Привет, Серег! Вы хоть знаете. что у нас новый министр обороны?! Сердюкова сняли, теперь Шойгу.................))))",neutral
random_06056,Руся с михой в старости),neutral
random_13423,К Нам Приходит Праздник....,neutral
random_10050,В какой ипаной комедии была эта песня??,neutral
random_05546,как то так...,neutral
random_14006,а она любит моего лучшего друга...,neutral
random_14183,Х А Р А Ш О,positive
random_06122,На 👠 нах и в охуительных 👖,neutral
random_10290,"Портрет Девушки в красном сейчас в здании Администрации г. Челябинска - пл.Революции, 2 - на выставке члена Союза художников Бутаковой А.В. )",neutral
random_14388,понравился сегоднешний вечер?),neutral
random_20703,"Я не могу жить и работать, пока в интернете есть страница с моим именем. Счастливо оставаться, безвольные овощи!",negative
random_13953,"Телефон будет работать вечером, если кто не смог дозвониться.",neutral
random_17385,Настоящая дружба - удел сильных),neutral
random_10365,"Кто пропустил - диссертация снегурочки:
[id5234993|Егор Платонов]-  должно понравится",neutral
random_11321,"брат, ты закрылся?",neutral
random_10109,"шо бухарик, когда гос?))",neutral
random_20274,Шашлычоок *_* Что еще для счастья надо... =)),positive
random_20952,Фильм хочу!!! Что посмотреть?,neutral
random_08510,"улыбнись, моя Танина дочка!))))",positive
random_08328,"Люди, которые воспринимают все пустяки близко к сердцу - больше всех способны искренне любить...",neutral
random_17557,на сибишке по пробкам,neutral
random_07163,"американский пирог,все в сборе!сходи,не пожалеешь!)",positive
random_19505,"Днепропетровск, 9 октября Гарик Сукачев в Метеоре | Lopata.in.ua | Днепропетровск",neutral
random_06767,"Что будет дальше, первая серия фильма ""История будущего"". Фильм начинается с 35-й минуты:
",neutral
random_19525,"Почему ,когда ты идешь вечером домой,немного поддатый,тебе хочется написать ей?...",neutral
random_20087,Украинский актер Владимир Зеленский прячется на территории России от призыва на военную службу,neutral
random_19656,Статус про кого?,neutral
random_05685,Когда-нибудь наша с тобой любовь будет бегать в подгузниках по дому:D,positive
random_06528,Мой бредок),neutral
random_14759,"Зеленоглазые люди - это сама нежность. Любят они всегда искренне, горячо и отличаются верностью тем, кого выбрали.",positive
random_19557,Вот так меня поздравила жена))),positive
random_13017,что не понравилась?????,neutral
random_16637,"В любви с мужчинами всегда проигрывает тот,кто без остатка отдается любви,подчиняется чужой воле и жертвует своей жизнью ради другого.Самое большое на что такая женщина может рассчитывать это-жалость.Свои чувства можно и нужно контролировать.Не они властвуют над нами,а мы над ними.Нельзя терять контроль над любовью  и смотреть на мир сквозь розовые очки.От них как известно,портиться зрение.Как только женщина начинает отдавать больше-ее сразу используют.Такова психология мужчин.Не мы должны быть достойны мужчин,а мужчина достоин нас.Никогда не поздно что-то менять и начать все сначала...вот и я начала...",neutral
random_09131,ТЫ УЖЕ ЗАПАССЯ????,neutral
random_04764,Деффки наши жгууут!!)),positive
random_20943,Разве мог я подумать пару месяцев назад что гитары будут стекаться ко мне рекой.,neutral
random_17981,"Кто знает? Почему появились щелчки в динамиках именно при прослушивании треков либо при просмотре видеороликов, когда включен инет, а без инета щелчков нету!",neutral
random_07434,"Свершилось! ))) 24 часа родов - и наша дочка теперь С НАМИ, а не в моем животе))))) Слава Богу за все!",positive
random_11849,а сколько стоит?,neutral
random_05950,Збс сьездили),positive
random_10181,"как? че вообще,??!!!",neutral
random_04350,Меня прееет от этой песни ХДДД,positive
random_08927,"Ира очень красивая, но она не будет с ним... 100%",neutral
random_01703,"Маме на радость, папе в награду, ты появилась на свете - отрада! Малыш несмышленый, пуговки-глазки, тебе всё внимание, заботы и ласки!!!",positive
random_00426,Смауг - самовлюблённый напыщенный баран,negative
random_16737,Легкая инструментальная импровизация на Король и шут),neutral
random_04193,авочка-бенч!!!,positive
random_11353,"Вот я всё равно считаю, что даже с разваленными спецслужбами можно было организовать, если уж не ""красивый"" арест на месте, то уж вывоз Гоблина и Константинова на ""большую землю"". И дальше решать вопрос с более адекватными людьми... ИМХО, я не специалист, конечно.",neutral
random_08015,я горжусь нашей сборной !!!!!,positive
random_07477,классный статус!),positive
random_13026,"Год - это не вся жизнь, но всю жизнь будешь вспоминать этот год.",neutral
random_19914,Назови дату и время))),neutral
random_02876,не смешно человек после инсульта,negative
random_02297,я всемогущая я нашлааа)),positive
random_08301,У меня футоблка в с ван Нистелроем есть),neutral
random_03763,— Боль делает людей сильнее.,neutral
random_13897,Сижу. Жду.,neutral
