id,characters,tokens,sentences,exclamations,questions,uppercase_ratio
random_17344,28,7,1,0,0,0.045454545454545456
random_17715,40,11,1,0,0,0.03225806451612903
random_21070,84,19,2,3,0,0.03076923076923077
random_14799,64,12,1,0,0,0.018867924528301886
random_04734,44,6,1,1,0,0.02564102564102564
random_11363,63,17,1,0,0,0.020833333333333332
random_19708,56,10,1,1,0,0.021739130434782608
random_12882,789,154,7,0,0,0.022151898734177215
random_20331,23,7,1,0,0,0.0
random_01701,71,14,1,0,0,0.08771929824561403
random_02787,16,3,1,5,0,0.0
random_03108,78,15,2,3,1,0.9047619047619048
random_09941,37,6,1,0,0,0.03125
random_17614,17,3,1,3,0,0.09090909090909091
random_20425,40,10,1,2,0,0.034482758620689655
random_16759,15,4,1,0,0,0.08333333333333333
random_17264,12,3,1,0,0,0.1
random_20860,19,6,1,1,0,0.07692307692307693
random_20840,37,7,2,1,0,0.06896551724137931
random_11454,14,4,1,0,0,0.0
random_01504,24,9,1,0,0,0.0625
random_04944,31,4,1,0,0,0.03571428571428571
random_07427,39,7,1,0,0,0.030303030303030304
random_08242,22,3,1,0,0,0.0
random_18428,77,16,1,0,0,0.14035087719298245
random_03217,147,34,4,1,1,0.05309734513274336
random_19683,706,138,8,0,0,0.026501766784452298
random_08163,41,11,1,0,0,0.03225806451612903
random_20163,106,22,1,0,0,0.05063291139240506
random_10110,17,7,1,0,1,0.09090909090909091
random_20374,12,3,1,3,0,0.125
random_06996,30,8,2,1,1,0.047619047619047616
random_05007,99,15,1,0,0,0.0963855421686747
random_20155,10,2,1,3,0,1.0
random_05231,29,6,1,1,1,0.05555555555555555
random_04436,245,42,6,3,0,0.04
random_04957,58,14,1,0,0,0.0
random_15728,49,10,2,0,0,0.05
random_14319,30,5,1,0,0,0.038461538461538464
random_01179,88,22,1,0,0,0.0
random_11861,238,46,3,1,0,0.1497326203208556
random_15653,49,8,1,0,0,0.023809523809523808
random_19061,110,23,1,0,0,0.011764705882352941
random_03868,27,5,1,1,0,0.043478260869565216
random_05980,10,2,1,0,0,0.0
random_03502,44,11,1,0,0,0.030303030303030304
random_11989,46,12,1,1,0,0.0
random_19877,71,30,2,0,1,0.047619047619047616
random_15859,11,5,1,0,0,0.14285714285714285
random_11673,15,7,1,0,1,0.0
random_06077,16,5,1,0,0,0.0
random_18296,16,3,1,0,0,0.07142857142857142
random_12677,28,6,1,0,2,0.0
random_18739,54,10,1,0,0,0.023255813953488372
random_04073,20,4,1,4,0,0.07142857142857142
random_00161,18,3,1,1,0,0.125
random_13670,25,5,1,0,0,0.0
random_11516,424,78,9,0,0,0.05571847507331378
random_12628,20,5,1,0,0,0.07142857142857142
random_02692,67,14,2,0,0,0.038461538461538464
random_12868,96,18,2,0,0,0.04
random_18450,11,4,1,0,0,0.0
random_18454,28,6,1,0,0,0.09523809523809523
random_17991,103,22,2,1,0,0.05
