id,label,reason
T42,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T43,1,Явное ускорение или непосредственно опасная ситуация.
T44,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T45,1,Явное ускорение или непосредственно опасная ситуация.
T46,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T47,1,Явное ускорение или непосредственно опасная ситуация.
T48,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T49,?,"Проблема или срок есть, но необходимость немедленного действия не вполне определена."
T50,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T51,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T52,1,Явное ускорение или непосредственно опасная ситуация.
T53,1,Явное ускорение или непосредственно опасная ситуация.
T54,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T55,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T56,1,Явное ускорение или непосредственно опасная ситуация.
T57,?,"Проблема или срок есть, но необходимость немедленного действия не вполне определена."
T58,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T59,1,Явное ускорение или непосредственно опасная ситуация.
T60,?,"Проблема или срок есть, но необходимость немедленного действия не вполне определена."
T61,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T62,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T63,1,Явное ускорение или непосредственно опасная ситуация.
T64,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T65,?,"Проблема или срок есть, но необходимость немедленного действия не вполне определена."
T66,1,Явное ускорение или непосредственно опасная ситуация.
T67,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T68,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T69,1,Явное ускорение или непосредственно опасная ситуация.
T70,1,Явное ускорение или непосредственно опасная ситуация.
T71,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T72,1,Явное ускорение или непосредственно опасная ситуация.
T73,?,"Проблема или срок есть, но необходимость немедленного действия не вполне определена."
T74,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T75,1,Явное ускорение или непосредственно опасная ситуация.
T76,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T77,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T78,1,Явное ускорение или непосредственно опасная ситуация.
T79,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T80,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T81,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T82,1,Явное ускорение или непосредственно опасная ситуация.
T83,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T84,1,Явное ускорение или непосредственно опасная ситуация.
T85,?,"Проблема или срок есть, но необходимость немедленного действия не вполне определена."
T86,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T87,1,Явное ускорение или непосредственно опасная ситуация.
T88,1,Явное ускорение или непосредственно опасная ситуация.
T89,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T90,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
