question_id,split,mode,valid,answer_correct,answer_exact,answerable_correct,gold_answerable,pred_answerable,evidence_precision,evidence_recall,evidence_f1,all_gold_in_context,context_answerable,context_answerable_correct,seconds,input_tokens,output_tokens
Q037,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.786281599999711,364,24
Q038,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9807303999996293,1058,17
Q038,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6652664999996887,404,17
Q039,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9591692000003604,1065,17
Q039,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6503720000000612,403,17
Q040,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9930936999999176,1060,17
Q040,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6377172000002247,391,17
Q041,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1017172000001665,1053,23
Q041,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.99135299999989,389,31
Q042,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.0027158999996573,1064,18
Q042,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.688857199999802,375,18
Q043,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1290243999997074,1072,23
Q043,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.8336232000001473,422,23
Q044,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.056751399999939,1062,21
Q044,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.8990583999998307,387,25
Q045,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.9320568000002822,1076,57
Q045,train,bm25,True,False,False,True,True,True,1.0,0.8333333333333334,0.9090909090909091,False,False,False,3.421793600000001,380,50
Q046,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.22330890000012,1060,27
Q046,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.904329299999972,390,27
Q047,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.160015200000089,1059,24
Q047,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.77649909999991,364,24
Q048,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.982897100000173,1058,17
Q048,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6415839000001142,404,17
Q049,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.978052200000093,1065,17
Q049,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6552593000001252,403,17
Q050,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.968844900000022,1061,17
Q050,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.622986299999866,391,17
Q051,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.0992550999999366,1053,23
Q051,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.9764451999999437,389,31
Q052,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.984627299999829,1064,18
Q052,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.725757000000158,375,21
Q053,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1145222999998623,1072,23
Q053,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.82483400000001,422,23
Q054,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.0851604999998017,1062,21
Q054,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.9000271999998404,387,25
Q055,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.929944500000147,1076,57
Q055,train,bm25,True,False,False,True,True,True,1.0,0.8333333333333334,0.9090909090909091,False,False,False,3.4062073000000055,380,50
Q056,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.2209327000000485,1060,27
Q056,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.8701019000000088,390,27
Q057,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1437447000002976,1059,24
Q057,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.8017210000002706,364,24
Q058,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9924191000000064,1058,17
Q058,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6608542999997553,404,17
Q059,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9560913000000255,1065,17
Q059,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.657525600000099,403,17
Q060,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9988256999999976,1061,17
Q060,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.646106199999849,391,17
Q061,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1245018999998138,1053,23
Q061,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.994775799999843,389,31
Q062,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.0063162000001284,1064,18
Q062,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.6570596000001387,375,18
Q063,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1436869999997725,1072,23
Q063,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.7933505999999397,422,23
Q064,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.053259700000126,1062,21
Q064,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.876472299999932,387,25
Q065,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.925260200000139,1076,57
Q065,test,bm25,True,False,False,True,True,True,1.0,0.8333333333333334,0.9090909090909091,False,False,False,3.4193124999997053,380,50
Q066,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.227026300000034,1060,27
Q066,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.8715965000001233,390,27
Q067,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1514954999997826,1059,24
Q067,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.7949578000002475,364,24
Q068,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9787569000000076,1058,17
Q068,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.617805099999714,404,17
Q069,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9519027999999707,1065,17
Q069,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.638121500000125,403,17
Q070,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.964574900000116,1061,17
Q070,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6250945000001593,391,17
Q071,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.3133934000002228,1053,31
Q071,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.9886350000001585,389,31
Q072,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.0567571999999927,1064,21
Q072,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.7341905000002953,375,21
Q073,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1042098999996597,1072,23
Q073,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.786996000000272,422,23
Q074,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.0892141999997875,1062,21
Q074,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.8335478000003604,387,25
Q075,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.9701955000000453,1076,57
Q075,test,bm25,True,False,False,True,True,True,1.0,0.8333333333333334,0.9090909090909091,False,False,False,3.422432900000331,380,50
Q076,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.238697199999933,1060,27
Q076,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.874886399999923,390,27
Q077,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.13313990000006,1059,24
Q077,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.8205542000000605,364,24
Q078,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.965174299999944,1058,17
Q078,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6413541000001715,404,17
Q079,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9982875000000604,1065,17
Q079,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.64267129999962,403,17
Q080,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.996869599999627,1061,17
Q080,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.653140800000074,391,17
Q081,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.3179512000001523,1053,31
Q081,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.9985344000001533,389,31
Q082,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.111292300000059,1064,21
Q082,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.6496382000000267,375,18
Q083,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.144054899999901,1072,23
Q083,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.837656100000004,422,23
Q084,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.078421200000321,1062,21
Q084,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.724962900000264,387,21
Q085,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.922656300000199,1076,57
Q085,test,bm25,True,False,False,True,True,True,1.0,0.8333333333333334,0.9090909090909091,False,False,False,3.432251400000041,380,51
Q086,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.1999329000000216,1060,27
Q086,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.9490484000002652,390,27
Q087,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1157760000000962,1059,24
Q087,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.8299477999999,364,24
Q088,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9516296000001603,1058,17
Q088,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.635631000000103,404,17
Q089,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9965350000002218,1065,17
Q089,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.644732600000225,403,17
Q090,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9513074000001325,1061,17
Q090,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6299300999999105,391,17
Q091,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.2989495000001625,1053,31
Q091,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.9766765000003943,389,31
Q092,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.9659798999996383,1064,18
Q092,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.667689899999914,375,18
Q093,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.099800200000118,1072,23
Q093,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.7581373999996686,422,23
Q094,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.0644806999998764,1062,21
Q094,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.829049699999814,387,25
Q095,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.902221599999848,1076,57
Q095,test,bm25,True,False,False,True,True,True,1.0,0.8333333333333334,0.9090909090909091,False,False,False,3.3948703000000933,380,50
Q096,test,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.2141106000003674,1060,27
Q096,test,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.8604779000002054,390,27
Q097,test,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.148266799999874,1059,24
Q097,test,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.7679218000002948,364,24
Q098,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9595060999999987,1058,17
Q098,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6104059999997844,404,17
Q099,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9737036999999873,1065,17
Q099,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6114958999996816,403,17
Q100,test,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.996499699999731,1061,17
Q100,test,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6752676999999494,391,17
